GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC03_VC24,Percent; SEX AND AGE - Median age (years)
HC04_VC24,Percent Margin of Error; SEX AND AGE - Median age (years)
HC01_VC35,Estimate; SEX AND AGE - 18 years and over
HC02_VC35,Margin of Error; SEX AND AGE - 18 years and over
HC03_VC35,Percent; SEX AND AGE - 18 years and over
HC04_VC35,Percent Margin of Error; SEX AND AGE - 18 years and over
HC01_VC41,Estimate; SEX AND AGE - 65 years and over
HC02_VC41,Margin of Error; SEX AND AGE - 65 years and over
HC03_VC41,Percent; SEX AND AGE - 65 years and over
HC04_VC41,Percent Margin of Error; SEX AND AGE - 65 years and over
HC01_VC48,Estimate; RACE - Total population
HC02_VC48,Margin of Error; RACE - Total population
HC03_VC48,Percent; RACE - Total population
HC04_VC48,Percent Margin of Error; RACE - Total population
HC01_VC50,Estimate; RACE - Total population - Two or more races
HC02_VC50,Margin of Error; RACE - Total population - Two or more races
HC03_VC50,Percent; RACE - Total population - Two or more races
HC04_VC50,Percent Margin of Error; RACE - Total population - Two or more races
HC01_VC53,Estimate; RACE - One race
HC02_VC53,Margin of Error; RACE - One race
HC03_VC53,Percent; RACE - One race
HC04_VC53,Percent Margin of Error; RACE - One race
HC01_VC75,Estimate; RACE - Two or more races
HC02_VC75,Margin of Error; RACE - Two or more races
HC03_VC75,Percent; RACE - Two or more races
HC04_VC75,Percent Margin of Error; RACE - Two or more races
HC01_VC82,Estimate; RACE - Race alone or in combination with one or more other races - Total population
HC02_VC82,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population
HC03_VC82,Percent; RACE - Race alone or in combination with one or more other races - Total population
HC04_VC82,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population
HC01_VC83,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White
HC02_VC83,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White
HC03_VC83,Percent; RACE - Race alone or in combination with one or more other races - Total population - White
HC04_VC83,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White
HC01_VC84,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC02_VC84,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC03_VC84,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC04_VC84,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC01_VC85,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native
HC02_VC85,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native
HC03_VC85,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native
HC04_VC85,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native
HC01_VC86,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian
HC02_VC86,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Asian
HC03_VC86,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian
HC04_VC86,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Asian
HC01_VC87,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander
HC02_VC87,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander
HC03_VC87,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander
HC04_VC87,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander
HC01_VC88,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race
HC02_VC88,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Some other race
HC03_VC88,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race
HC04_VC88,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Some other race
HC01_VC92,Estimate; HISPANIC OR LATINO AND RACE - Total population
HC02_VC92,Margin of Error; HISPANIC OR LATINO AND RACE - Total population
HC03_VC92,Percent; HISPANIC OR LATINO AND RACE - Total population
HC04_VC92,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population
HC01_VC93,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC02_VC93,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC03_VC93,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC04_VC93,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC01_VC94,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC02_VC94,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC03_VC94,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC04_VC94,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC01_VC95,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican
HC02_VC95,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican
HC03_VC95,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican
HC04_VC95,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican
HC01_VC96,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban
HC02_VC96,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban
HC03_VC96,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban
HC04_VC96,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban
HC01_VC97,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino
HC02_VC97,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino
HC03_VC97,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino
HC04_VC97,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino
HC01_VC98,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC02_VC98,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC03_VC98,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC04_VC98,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC01_VC109,Estimate; HISPANIC OR LATINO AND RACE - Total housing units
HC02_VC109,Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units
HC03_VC109,Percent; HISPANIC OR LATINO AND RACE - Total housing units
HC04_VC109,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units
HC01_VC113,"Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
HC02_VC113,"Margin of Error; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
HC03_VC113,"Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
HC04_VC113,"Percent Margin of Error; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
